,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
127,Chocolate Desserts,Too Much Chocolate Cake,https://www.allrecipes.com/recipe/7565/too-much-chocolate-cake/,,,,Original recipe yields 12 servings (1 12 cup Bundt cake),600  cals,38.6 ,60.9,7.6 ,79 ,550 ,1 (18.25 ounce) package devil's food cake mix;1 (5.9 ounce) package instant chocolate pudding mix;1 cup sour cream;1 cup vegetable oil;4 eggs;1/2 cup warm water;2 cups semisweet chocolate chips,3
128,Chocolate Desserts,Chewy Chocolate Chip Oatmeal Cookies,https://www.allrecipes.com/recipe/24445/chewy-chocolate-chip-oatmeal-cookies/,15 m,12 m,55 m,Original recipe yields 42 servings (3 1/2 dozen),145  cals,8.1 ,17.2,2.1 ,20 ,107 ,"1 cup butter, softened;1 cup packed light brown sugar;1/2 cup white sugar;2 eggs;2 teaspoons vanilla extract;1 1/4 cups all-purpose flour;1/2 teaspoon baking soda;1 teaspoon salt;3 cups quick-cooking oats;1 cup chopped walnuts;1 cup semisweet chocolate chips",3
129,Chocolate Desserts,Brooke's Best Bombshell Brownies,https://www.allrecipes.com/recipe/143667/brookes-best-bombshell-brownies/,15 m,35 m,50 m,Original recipe yields 24 servings,248  cals,11.2 ,37.5,2.9 ,51 ,165 ,"1 cup butter, melted;3 cups white sugar;1 tablespoon vanilla extract;4 eggs;1 1/2 cups all-purpose flour;1 cup unsweetened cocoa powder;1 teaspoon salt;1 cup semisweet chocolate chips",4
130,Chocolate Desserts,Chocolate Chocolate Chip Cookies I,https://www.allrecipes.com/recipe/9827/chocolate-chocolate-chip-cookies-i/,15 m,10 m,45 m,Original recipe yields 48 servings (4 dozen),125  cals,7.1 ,15.5,1.5 ,18 ,63 ,"1 cup butter, softened;1 1/2 cups white sugar;2 eggs;2 teaspoons vanilla extract;2 cups all-purpose flour;2/3 cup cocoa powder;3/4 teaspoon baking soda;1/4 teaspoon salt;2 cups semisweet chocolate chips;1/2 cup chopped walnuts (optional)",3
131,Chocolate Desserts,One Bowl Chocolate Cake III,https://www.allrecipes.com/recipe/17981/one-bowl-chocolate-cake-iii/,20 m,30 m,1 h,Original recipe yields 24 servings (2 - 9 inch round cake layers),157  cals,5.7 ,25.7,2.3 ,16 ,217 ,2 cups white sugar;1 3/4 cups all-purpose flour;3/4 cup unsweetened cocoa powder;1 1/2 teaspoons baking powder;1 1/2 teaspoons baking soda;1 teaspoon salt;2 eggs;1 cup milk;1/2 cup vegetable oil;2 teaspoons vanilla extract;1 cup boiling water,3
132,Chocolate Desserts,Zucchini Brownies,https://www.allrecipes.com/recipe/25112/zucchini-brownies/,15 m,30 m,45 m,Original recipe yields 24 servings (1 - 9x13 inch pan),209  cals,8.6 ,32.9,2.3 ,< 1 ,200 ,1/2 cup vegetable oil;1 1/2 cups white sugar;2 teaspoons vanilla extract;2 cups all-purpose flour;1/2 cup unsweetened cocoa powder;1 1/2 teaspoons baking soda;1 teaspoon salt;2 cups shredded zucchini;1/2 cup chopped walnuts;Frosting:;6 tablespoons unsweetened cocoa powder;1/4 cup margarine;2 cups confectioners' sugar;1/4 cup milk;1/2 teaspoon vanilla extract,5
133,Chocolate Desserts,Black Magic Cake,https://www.allrecipes.com/recipe/8372/black-magic-cake/,15 m,35 m,1 h,Original recipe yields 24 servings (1 - 9x13 inch or 2 - 9 inch round pans),155  cals,5.5 ,25.7,2.3 ,16 ,240 ,1 3/4 cups all-purpose flour;2 cups white sugar;3/4 cup unsweetened cocoa powder;2 teaspoons baking soda;1 teaspoon baking powder;1 teaspoon salt;2 eggs;1 cup strong brewed coffee;1 cup buttermilk;1/2 cup vegetable oil;1 teaspoon vanilla extract,4
134,Chocolate Desserts,Easy OREO Truffles,https://www.allrecipes.com/recipe/127491/easy-oreo-truffles/,1 h 30 m,,,Original recipe yields 42 servings (3 -1/2 dozen),,,,,,,"1 (16 ounce) package OREO Chocolate Sandwich Cookies, divided;1 (8 ounce) package PHILADELPHIA Cream Cheese, softened;2 (8 ounce) packages BAKER'S Semi-Sweet Baking Chocolate, melted",3
135,Chocolate Desserts,Extreme Chocolate Cake,https://www.allrecipes.com/recipe/17528/extreme-chocolate-cake/,30 m,35 m,1 h 5 m,Original recipe yields 12 servings (1 - 4 layer 9 inch cake),655  cals,24.6 ,111.1,7.3 ,64 ,524 ,2 cups white sugar;1 3/4 cups all-purpose flour;3/4 cup unsweetened cocoa powder;1 1/2 teaspoons baking soda;1 1/2 teaspoons baking powder;1 teaspoon salt;2 eggs;1 cup milk;1/2 cup vegetable oil;2 teaspoons vanilla extract;1 cup boiling water;3/4 cup butter;1 1/2 cups unsweetened cocoa powder;5 1/3 cups confectioners' sugar;2/3 cup milk;1 teaspoon vanilla extract,5
136,Chocolate Desserts,Outrageous Chocolate Chip Cookies,https://www.allrecipes.com/recipe/10141/outrageous-chocolate-chip-cookies/,15 m,10 m,25 m,Original recipe yields 18 servings (3 dozen),207  cals,12 ,23.7,3.6 ,24 ,178 ,1/2 cup butter;1/2 cup white sugar;1/3 cup packed brown sugar;1/2 cup peanut butter;1/2 teaspoon vanilla extract;1 egg;1 cup all-purpose flour;1 teaspoon baking soda;1/4 teaspoon salt;1/2 cup rolled oats;1 cup semisweet chocolate chips,3
137,Chocolate Desserts,MMMMM... Brownies,https://www.allrecipes.com/recipe/25080/mmmmm-brownies/,25 m,25 m,1 h,Original recipe yields 16 servings (16 brownies),141  cals,6.8 ,20.2,2 ,27 ,113 ,1/2 cup white sugar;2 tablespoons butter;2 tablespoons water;1 1/2 cups semisweet chocolate chips;2 eggs;1/2 teaspoon vanilla extract;2/3 cup all-purpose flour;1/4 teaspoon baking soda;1/2 teaspoon salt,3
138,Chocolate Desserts,Aunt Teen's Creamy Chocolate Fudge,https://www.allrecipes.com/recipe/15821/aunt-teens-creamy-chocolate-fudge/,10 m,20 m,30 m,Original recipe yields 48 servings (3 pounds),124  cals,5.5 ,18.2,1.4 ,5 ,26 ,1 (7 ounce) jar marshmallow creme;1 1/2 cups white sugar;2/3 cup evaporated milk;1/4 cup butter;1/4 teaspoon salt;2 cups milk chocolate chips;1 cup semisweet chocolate chips;1/2 cup chopped nuts;1 teaspoon vanilla extract,3
139,Chocolate Desserts,No Bake Cookies III,https://www.allrecipes.com/recipe/10745/no-bake-cookies-iii/,15 m,25 m,,Original recipe yields 24 servings (4 dozen),172  cals,7.3 ,25.2,3 ,< 1 ,71 ,2 cups white sugar;3 tablespoons unsweetened cocoa powder;1/2 cup margarine;1/2 cup milk;1 pinch salt;3 cups quick cooking oats;1/2 cup peanut butter;1 teaspoon vanilla extract,3
140,Chocolate Desserts,Chocolate Crinkles II,https://www.allrecipes.com/recipe/9861/chocolate-crinkles-ii/,20 m,12 m,5 h,Original recipe yields 72 servings (6 dozen),58  cals,2 ,9.8,0.9 ,10 ,34 ,1 cup unsweetened cocoa powder;2 cups white sugar;1/2 cup vegetable oil;4 eggs;2 teaspoons vanilla extract;2 cups all-purpose flour;2 teaspoons baking powder;1/2 teaspoon salt;1/2 cup confectioners' sugar,3
141,Chocolate Desserts,Chocolate Trifle,https://www.allrecipes.com/recipe/19017/chocolate-trifle/,30 m,25 m,8 h 55 m,Original recipe yields 12 servings,488  cals,18.8 ,73.7,4.8 ,12 ,314 ,"1 (19.8 ounce) package brownie mix;1 (3.9 ounce) package instant chocolate pudding mix;1/2 cup water;1 (14 ounce) can sweetened condensed milk;1 (8 ounce) container frozen whipped topping, thawed;1 (12 ounce) container frozen whipped topping, thawed;1 (1.5 ounce) bar chocolate candy",3
142,Cookies,Apple-Cran-Cherry Oatmeal Cookies,https://www.allrecipes.com/recipe/11094/apple-cran-cherry-oatmeal-cookies/,,,,Original recipe yields 42 servings (7 dozen),179  cals,5.2 ,31.3,2.5 ,12 ,81 ,"1 cup butter, softened;1 1/2 teaspoons ground cinnamon;1/4 teaspoon ground cardamom;1 1/2 teaspoons baking soda;2 cups packed dark brown sugar;2 cups applesauce;2 cups all-purpose flour;6 cups rolled oats;1 1/2 cups dried cherries;1 1/2 cups dried cranberries",3
143,Cookies,Ultimate Maple Snickerdoodles,https://www.allrecipes.com/recipe/11466/ultimate-maple-snickerdoodles/,15 m,10 m,35 m,Original recipe yields 36 servings (3 dozen),91  cals,2.7 ,16.2,0.9 ,5 ,61 ,"2 cups all-purpose flour;1 1/2 teaspoons baking powder;1/4 teaspoon baking soda;1 1/2 teaspoons ground cinnamon;1/2 cup margarine, softened;1 cup white sugar;3 tablespoons real maple syrup;1 egg;1/2 cup white sugar;1/4 cup maple sugar",3
