,category,recipe-name,recipe-url,prep-time,cook-time,total-time,servings,calories,fat-g,carbs-g,protein-g,cholesterol-mg,sodium-mg,ingredients,num_steps
60,Homemade Pasta,Unique Spinach Noodles,https://www.allrecipes.com/recipe/11761/unique-spinach-noodles/,,,,Original recipe yields 2 servings (2 - 4 servings),324  cals,3.3 ,60.5,11.8 ,93 ,633 ,1 1/4 cups torn spinach leaves;2 tablespoons water;1 egg;1/2 teaspoon salt;1 1/4 cups all-purpose flour,3
61,Homemade Pasta,Egg Noodles,https://www.allrecipes.com/recipe/11991/egg-noodles/,15 m,3 m,33 m,Original recipe yields 7 servings (6 to 8 servings),206  cals,3.8 ,35,7 ,59 ,40 ,"2 1/2 cups all-purpose flour;1 pinch salt;2 eggs, beaten;1/2 cup milk;1 tablespoon butter",4
62,Homemade Pasta,Ricotta Gnocchi,https://www.allrecipes.com/recipe/126942/ricotta-gnocchi/,45 m,15 m,1 h,Original recipe yields 5 servings,442  cals,26 ,27.1,22.4 ,131 ,906 ,"Gnocchi:;1 (8 ounce) container ricotta cheese;2 eggs;1/2 cup freshly grated Parmesan cheese;1 teaspoon salt;1 teaspoon pepper;1 teaspoon garlic powder;1 cup all-purpose flour, or as needed;Sauce:;3 tablespoons olive oil;1 tablespoon minced garlic;1 (15.5 ounce) can diced tomatoes;1 dash crushed red pepper flakes (optional);6 basil leaves, finely shredded;Salt and pepper to taste;8 ounces fresh mozzarella cheese, cut into small chunks",5
63,Homemade Pasta,Gnocchi I,https://www.allrecipes.com/recipe/18465/gnocchi-i/,30 m,30 m,1 h,Original recipe yields 4 servings,329  cals,2 ,67,9.7 ,53 ,22 ,2 potatoes;2 cups all-purpose flour;1 egg,3
64,Homemade Pasta,Basic Pasta,https://www.allrecipes.com/recipe/11899/basic-pasta/,,,,Original recipe yields 3 servings,176  cals,2.1 ,31.9,6.4 ,62 ,412 ,"1 egg, beaten;1/2 teaspoon salt;1 cup all-purpose flour;2 tablespoons water",2
65,Homemade Pasta,Quick Gnocchi,https://www.allrecipes.com/recipe/11760/quick-gnocchi/,10 m,5 m,15 m,Original recipe yields 2 servings,462  cals,3.5 ,91.3,14.8 ,93 ,1225 ,"1 cup dry potato flakes;1 cup boiling water;1 egg, beaten;1 teaspoon salt;1/8 teaspoon ground black pepper;1 1/2 cups all-purpose flour",4
66,Homemade Pasta,Grandma's Noodles II,https://www.allrecipes.com/recipe/11776/grandmas-noodles-ii/,,,,Original recipe yields 4 servings,136  cals,1.7 ,24.5,5.1 ,47 ,373 ,"1 egg, beaten;1/2 teaspoon salt;2 tablespoons milk;1 cup sifted all-purpose flour;1/2 teaspoon baking powder (optional)",4
67,Homemade Pasta,Sweet Potato Gnocchi,https://www.allrecipes.com/recipe/56311/sweet-potato-gnocchi/,30 m,35 m,1 h 5 m,Original recipe yields 4 servings,346  cals,2.1 ,71.1,9.9 ,46 ,372 ,"2 (8 ounce) sweet potatoes;1 clove garlic, pressed;1/2 teaspoon salt;1/2 teaspoon ground nutmeg;1 egg;2 cups all-purpose flour",3
68,Homemade Pasta,Homemade Four Cheese Ravioli,https://www.allrecipes.com/recipe/213131/homemade-four-cheese-ravioli/,45 m,15 m,2 h,Original recipe yields 4 servings (20 ravioli),1270  cals,89.2 ,80.4,37.8 ,407 ,1359 ,"Ravioli Dough:;2 cups all-purpose flour;1 pinch salt;1 teaspoon olive oil;2 eggs;1 1/2 tablespoons water;Ravioli Filling:;1 (8 ounce) container ricotta cheese;1 (4 ounce) package cream cheese, softened;1/2 cup shredded mozzarella cheese;1/2 cup provolone cheese, shredded;1 egg;1 1/2 teaspoons dried parsley;Pesto-Alfredo Cream Sauce:;2 tablespoons olive oil;2 cloves garlic, crushed;3 tablespoons prepared basil pesto sauce;2 cups heavy cream;1/4 cup grated Parmesan cheese;1 (24 ounce) jar marinara sauce;Egg Wash:;1 egg;1 tablespoon water",10
69,Homemade Pasta,Homemade Noodles,https://www.allrecipes.com/recipe/11775/homemade-noodles/,,,,Original recipe yields 2 servings,263  cals,3.1 ,47.9,9.6 ,93 ,36 ,1 cup all-purpose flour;1 egg;1 pinch salt,2
